,,Notes,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
,Vek_Smoke,Vek is put in smoke (from anyone / any cause),"""The Vek'll be unable to act in that smoke."", ""I'm willing to bet that smoke is thick enough to completely stop the Vek.""","""This'll stop that Vek from harming anyone."", ""Make sure it says in that smoke.""","""The Vek's trapped up in the smoke."", ""Think you can do anything in that smoke, Vek?"", ""Vek's slowed down in that smoke, let's use that to our advantage."",","""Weaponizing that smoke is strong, but it comes with its own risks."", ""The smoke won't dissipate until we're able to secure this sector, so that Vek won't act until it leaves."", ""Don't make a habit on using the smoke to slow down the Vek, but do take advantage of it.""","""It appears the smoke has rendered the Vek unable to act."", ""Perhaps the Vek's pheromones are inhibited by the smoke?"",""The Vek is unable to act in the smoke. Perhaps its senses are inhibited the same way smoke inhibits our sensors.""","""The smoke provides some respite from that Vek's offensive, finally."", ""Keep the Vek immersed in the smoke, it can't act in there."", ""We can't do much in the smoke, but it traps the Vek as well.""","""Keep that Vek in the smoke until we can eliminate it safely."",""That Vek won't threaten any lives while it's smoked out."",""That smoke is thick enough to take anyone out of the action.""","""As long as that Vek's in the smoke, it won't trouble us."",""Hold that Vek in the smoke. Make it an obstacle to their own.""","""The smoke provides some respite from that Vek's offensive, finally."", ""Keep the Vek immersed in the smoke, it can't act in there."", ""We can't do much in the smoke, but it traps the Vek as well.""","""Anyone would get lost in that smoke."",""Incredible that Vek manage to survive at all in smoke that thick."",""Let's see if we can subjugate more Vek using that smoke.""","""Smoke like that should stop the Vek from doing anything."",""Even if we move the Vek back out, it'll still be too dazed to act."",""That's some thick smoke, thick enough to stop a Vek immediately.""","""Wouldn't want to be trapped in smoke like that either."",""We'd better hope that Vek stays lost in the smoke."",""That's one way of dealing with the Vek, temporarily."""
,Vek_Frozen,Vek is frozen (from any cause except Snow Storm and Freeze Mine),"""Froze that Vek solid!"", ""I can feel the air chilled around me, can't imagine what it's like in the ice."", ""Don't let that Vek get out of the ice.""","""And stay frozen."", ""Vek's not getting out of that any time soon."", ""Vek's frozen solid.""","""Vek's frozen under that ice."", ""Vek won't get out of that ice unless we let something help it out."",""That Vek just got encased in ice.""","""This Vek has been iced out of combat."", ""Under ice, the Vek'll be unable to act."", ""We'll deal with this Vek later. Good to have it out of the way.""","""It takes stunning power to freeze a mass that large. Quite literally, stunning power."", ""The Vek is alive within that ice, but subdued."", ""Try to leave the Vek in that ice. It's less of a threat in stasis.""","""Don't come out!"", ""Vek's encased in ice. Don't break it out!"", ""Make sure it stays frozen!""","""Vek neutralized in ice."",""Hostile frozen, keep it there."",""Don't let that hostile out of it's ice.""","""Vek won't move an inch while it's stuck in that ice."",""Take your time with that Vek, it's not going anywhere."",""Let's see if we can use this Vek's frozen mass to our advantage.""","""Don't come out!"", ""Vek's encased in ice. Don't break it out!"", ""Make sure this Vek stays frozen!""","""A frozen slumber for this Vek."",""Don't wake that Vek up, until we're ready to deal with it."",""Encased in ice, it'll trouble us no longer.""","""If it stays frozen, we won't have to deal with it."",""Ice like that won't thaw out for a while, not unless we make it."",""Try not to free that Vek unless you have to.""","""Frozen solid, that Vek can't do a thing."",""Amazed that this Vek can even stay alive trapped in ice, really."",""Wouldn't want to be stuck in there either."""
,VekKilled_Self,,"""I am your judge, jury and executioner."", ""Your time is up, Vek."", ""Justice has been delivered.""","""Vek down, nice work team."", ""This Vek's dead, follow up."", ""This one's down."", ""You'll never hurt anyone again.""","""More where that came from."", ""Vek eliminated, but I'm not done yet."", ""Killed a Vek. Keep them coming at me.""","""Vek eliminated."",  ""Another enemy exterminated."",  ""Vek neutralized."", ""Crushed this Vek."", ""One less Vek."", ""Kill confirmed for this Vek.""","""This Vek has been knocked out of the battle."", ""One Vek down. Many, many more to go."", ""I've removed this Vek from the equation."",","""You won't threaten anyone, ever again."", ""Lights out for this Vek."", ""And stay dead!"", ""I.. I took it down!""","""Target eliminated."",""Vek neutralized."",""Target destroyed."",""Hostile down."",""Threat removed.""","""Eliminated a Vek."",""One more kill for me."",""Add that Vek to my tally."",""Vek neutralized.""","""You won't threaten anyone, ever again."", ""Lights out for this Vek."", ""And stay dead!"", ""I.. took the Vek down!""","""Killed a Vek."",""I could do this in my sleep"",""Took this Vek down."",""This Vek's not getting back up."",""I don't think this Vek'll recover.""","""One less Vek alive."",""Vek down, let's keep this up."",""Obliterated this Vek."",""That's one more for me."",""Got another Vek.""","""Score one for me, score none for you."",""It's just bug-bits now."",""That's another Vek down!"",""Give up yet?"",""Killed this Vek."""
,VekKilled_Obs,,"""Show these Vek what we're made of."", ""Vek just went dim on my sensors. Was that your work, #main_second?"", ""Another one down. This region'll be secured yet."",","""Nice work #main_first."", ""Good job, we might pull this off after all."", ""Keep it up and we might just make it."",","""That one was mine, #main_second, but I'll let you have it."", ""Leave more of them for me, #main_second!"", ""Vek eliminated, nice work."", ""Keep it up, #main_second.""","""Stay sharp, #main_second. More Vek may be coming."",  ""Well executed, #main_second."", ""Another confirmed kill, #main_second."",  ""Stay on the offensive, we'll get them all soon."", ""Keep it up. Corner them, don't let the Vek escape.""","""Keep it up, #main_first."", ""Don't get overzealous, pilot #main_second. It's more than dead now."", ""Damage like that.. a wonder the Vek are capable of sustaining more attacks than one.""","""#main_first, that was great!"", ""Keep those Vek falling, I'll back you up!"", ""Good work #main_first, another Vek dead.""","""Hostile eliminated by pilot #main_second."",""Fair shot."",""Good shot, pilot."",""#main_second neutralized the target.""","""Couldn't have done it any better, #main_second."", ""Excellent work as always, #main_second."", ""Vek went down to #main_second."",","""Keep it coming, #main_first!"", ""Keep killing those Vek, #main_first, I'll back you up!"", ""Good work #main_first, another Vek dead.""","""#main_first, well done."",""Good work, #main_first. Vek won't get up any time soon."",""You're not tired already, are you?.""","""#main_first takes the credit for that one."",""#main_first just took down another one."",""Vek down, courtesy of #main_first.""","""I let you have that one, #main_first!"",""Good work, #main_first."",""You really showed that Vek!"""
,VekKilled_Vek,,"""Friendly fire on the Vek's part. I think I'll let that slide."",""None of you killed that one, did you? I'm not complaining.""","""If only they'd do this all the time."",  ""They devour themselves in their relentlessness."", ""Fire with fire, insect with insect.""","""If you kill each other, how many'll be left for me, hm?"", ""Taking yourselves out so you don't have to face me. I see."",","""This is an instance of friendly fire I can appreciate."",  ""I typically don't find it pleasant for my foes to kill themselves, but this is an exception."", ""Face the Vek off against themselves. Use their power to our advantage."", ""Turning the Vek against themselves is an equally viable tactic.""","""Do the Vek mind attacking their own kind? They seem to act without hesitation."", ""The Vek just took its own kind out. Excellent."", ""We should utilize the Vek's tendency for self destruction more often, if possible."",","""Good, just let them attack each other."",  ""We should make them do that more often!"",","""Vek just took out one of their own."",""Allow them to fight among themselves."",""Hostile just fell to friendly fire.""","""A challenge best left unmade."",""An unfortunate position for that Vek."",""Our foes consume themselves in their malice.""","""Good, just let them attack each other."",  ""We should make them do that more often!"",","""Their unholy urges, satiated with their own blood."",""The ideal way to keep these Vek in line."",""They'll be gone soon enough, by their own doing.""","""As long as they're not paying attention, I suppose."",""Glad to see the Vek doing the hard work for us."",""Didn't think we'd manage to get that Vek to attack its own.""","""Does that still count as our kill?"",""Watch it, Vek, you're stealing our work!"",""Heh, Vek just killed its own!"""
,,,,,,,,,,,,,,
,DoubleVekKill_Self,,"""Both of you, the same sentence."", ""Got a Vek. Wait - looks like I got two!"", ""Did one of you get that second Vek? No? I'll take it.""","""I hope I can pull that one off again."", ""Two down, I think we might survive this."", ""Destroyed a pair of Vek, we'll be done in no time.""","""Ha, two Vek at once!"", ""That's two more down!"", ""Suckers were just waiting for it.""","""Two Vek neutralized."", ""A pair of Vek destroyed."",  ""Two Vek, two kills."",  ""Eliminated these Vek at the same time.""","""Vek eliminated, at maximum efficiency."", ""Optimizing the process of fighting Vek... a little unconventional."", ""Two Vek, at the same time. An excellent blow, if I dare say so myself.""","""That was.. definitely.. yeah, that's two dead."",  ""Two Vek down. Everything's.. better than expected."",  ""Back off, Vek, or I'll do that to all of you!"", ""Good, it's dead.. Both of them are dead. Wow.""","""Two Vek down."",""Not a terrible shot."",""Two targets neutralized.""","""Impressed yet, soldiers?"",""Keep them coming, and I'll keep taking them down."",""Two at a time, no big deal."",""Got a double kill on these Vek.""","""That was.. definitely.. yeah, that's two dead."",  ""Two Vek down. Everything's.. better than expected."",  ""Back off, Vek, or I'll do that to all of you!"", ""Good, it's dead.. Both of them are dead. Wow.""","""Took both of these Vek down."",""Got a two for one."",""This pair of Vek won't concern us now.""","""Two at once, excellent."",""Wiped out two Vek at once."",""Better two than one.""","""Got two of them!"",""Anyone keeping count? That's two more!"",""Got a double on these Vek!"""
,DoubleVekKill_Obs,,"""You just took two out at once, didn't you?"", ""Both of those were you, #main_first? Nice work."", ""Two Vek just went dim at the same time, excellent.""","""Great shot #main_first."", ""Excellent work #main_first, keep it efficient"", ""Two down in one go, great work."",","""You're taking all my kills, #main_second!"", ""Expertly done, #main_second."", ""Two at once? Good work."", ""Letting #main_second do everything for you, #squad?"",","""Efficiently done, #main_second."", ""Excellent maneuvering, #main_second."", ""Don't start showing off now."",  ""Well planned, well executed."",  ""Perhaps there's a future for you in command after this war.""","""Rapid elimination! Well executed. #main_first."", ""Tactical expertise, in full display."", ""A commendable use of your positioning, #main_second."",","""Keep it strong, #main_first. Take them all out!"", ""Keep that, #main_first, and we'll be done soon!"", ""I'll just.. sit back and let you do the heavy lifting. I'm fine with that. Really.""","""Excellent aim, #main_second."",""You're starting to impress me."",""Fine shot."",""Well executed, #main_first.""","""Two at once? Excellent, #main_second."", ""These are standards we should all strive towards, #main_second."", ""A double kill? Don't raise my expectations too high, #main_second.""","""Keep it strong, #main_first. Take them all out!"", ""Keep that, #main_first, and we'll be done soon!"", ""I'll just.. sit back and let you do the heavy lifting. I'm fine with that. Really.""","""More tricks up your sleeve, hm?"",""I've lost count of how many you've killed."",""At the same time.. Excellent work, #main_first.""","""#main_first just wiped out two at once!"",""A two for one. Nice going, #main_first."",""Excellent maneuver, #main_first!""","""Leave some for me, #main_first!"", ""#main_first, nice going!"", ""You make this look easy, #main_first!."""
,DoubleVekKill_Vek,,"""Keep it up, and we won't even have to touch these Vek."", ""Did the Vek just take their own out?"",","""The Vek are wiping themselves out."", ""If they challenge us, let them come."",","""The Vek are clearing the region for us."", ""A few more like that, and we can pack it up."", ""They're turning on each other - but don't let your guard down."",","""We can't count on this all the time, but while it's happening.."", ""Enemies are wiping themselves out in confusion. Take the initiative."",","""A terrible display of power, against themselves!"", ""You've only managed to impress us with your incompetence, Vek!"", ""It's as if they're unable to withdraw their actions in time. Fascinating.""","""Let them tear each other apart!"", ""Use our greatest threat against itself. Better them than us!"", ""Oh man, I wouldn't like to be either of those.""","""Foolish bugs."",""Don't get in their way."",""Let it happen.""","""Their viciousness is tempered only by any lack of restraint."",""A key pair of picks, but of their own doing.""","""Let them tear each other apart!"", ""Use our greatest threat against itself. Better them than us!"", ""Oh man, I wouldn't like to be either of those Vek.""","""Let's keep this up, shall we?"",""By all means, Vek, do as you please."",""To think some would consider their ferocity a virtue.""","""They're not quite turning on each other, but it does help that they're oblivious."",""Glad to see the Vek still haven't learned not to attack themselves."",""Let them do their thing. It's working in our favor.""","""The singular instance of two bugs being better than one."",""That's the kind of Vek versus Vek action I like to see."",""If only rogue Vek were an actual thing."""
,,,,,,,,,,,,,,
,MntDestroyed_Self,"Note that because a destroyed mountain (and building) can then be moved through, some lines reflect the fact the player can now move into these tiles.","""I think I hit something. That's... a mountain. Okay."", ""Took a mountain down, that gives a bit more room to maneuver."", ""Didn't mean to take that down, I apologize.""","""Woah, the mountain's coming down."", ""I uh, may have defaced the terrain."", ""If it means a Vek can't live here..."",","""Brought down the mountain, it was in my way."", ""The terrain just got destroyed, for better or worse."",","""Terrain took collateral damage."", ""Leveled it."", ""Mountain's out of the way."", ""Mountain was destroyed.""","""The mountain has been destroyed. An unfortunate side-effect."", ""I may need to rein my attacks in."", ""Much faster than a terraformer, though I'll admit, nowhere near as efficient.""","""Woah, the mountain.. I didn't mean to do that."", ""Whoops, I may have attacked the mountain."", ""Was.. that mountain hollow, or something?""","""Terrain took some damage."",""Stay clear of the debris."",""Mountain's out of the way now."",""Obstruction cleared.""","""One less obstacle to worry about."",""We won't have this mountain for cover, but it won't trouble us either."",""Mountain was just in the way. No big deal.""","""Woah, the mountain.. I didn't mean to do that."", ""Whoops, I may have attacked the mountain."", ""Was.. that mountain hollow, or something?""","""Mountain had to fall, like it or not."",""Just a mountain. Unfortunate that it wasn't a Vek instead."",""It'll be out of the way, at least.""","""Not great having to disrupt the terrain, but it was in the way."",""Unfortunate that the mountain was in my way."",""A mis-step on my part. I apologize.""","""Whoops, there goes the mountain."",""Didn't quite mean to take down that mountain.."",""Mountain no longer in the way."""
,MntDestroyed_Obs,,"""Those tremors.. You just took down a mountain."",""That mountain just gave way to your mech."", ""Hey, I was using that to navigate!"",","""Watch out, you just brought that mountain down."", ""That mountain's coming down, maneuver accordingly."", ""Let's take a Vek with it next time."",","""Mountain just fell, watch your attacks."", ""As long as it gives me more room to work."",","""Watch out for the rubble."", ""I hope that was on purpose, #main_second."", ""That mountain had some strategic importance, but it's not a big deal.""","""You took that mountain down in a heartbeat."", ""In one solid blow, you've leveled that mountain. Terrifying.""","""You just took down that entire mountain!"",  ""If you're not harming anyone, I've got little to complain about."",","""Stay clear of the debris."",""Watch your fire."",""Focus your fire on the Vek instead."",""If it was necessary, fine.""","""Should have used that attack on a Vek."",""As long as you didn't need to use that on anything else."",""Finished with that mountain? Focus on the enemy.""","""You just took down that entire mountain!"",  ""If you're not harming anyone, I've got little to complain about."",","""Watch yourself, #main_first. Or was that on purpose?"",""Direct your fire where it needs to go, not at a mountain."",""Vek can't burrow there anymore, at the very least.""","""Try not to treat the terrain so recklessly."",""Watch your surroundings, you just knocked down that mountain."",""Hope that mountain was in the way.""","""You'd better watch where you use that thing!"",""Do that again, but on a Vek!"",""I hope that was worth your while."""
,MntDestroyed_Vek,,"""Vek took a mountain down, watch for the rubble."", ""Shame the Vek didn't go with that mountain."",""Mountain collasped, I think a Vek hit that one.""","""That entire mountain.. there goes another line of defense."", ""I hope a hive was in that thing."", ""A Vek just brought down that mountain, watch out.""","""You missed, Vek."", ""I'll step into that rubble and kick your ass myself."",","""Vek destroyed a mountain, likely on accident."",""Mountainous terrain leveled by that Vek. Watch your position.""","""I suppose we'll have to do without that mountain."",""The mountain just crumbled to a Vek. The unstoppable force prevails.""","""That entire mountain.. Better a mountain than a building."", ""As long as you're not attacking us...""","""Vek defaced the terrain."",""Vek wasted its attack on a mountain."",""We won't have that as cover anymore.""","""As long as it's not our infrastructure, let it do as it pleases."",""That mountain won't be providing us cover any longer."",""Vek won't be able to burrow underneath it, at the very last.""","""That entire mountain.. Better a mountain than a building."", ""As long as you're not attacking us...""","""Good thing that wasn't anything important."",""Mountain won't trouble us any longer, though it only means the Vek is closer now.""","""We should stop the Vek from doing any more damage."",""Better than for it to destroy our infrastructure, still not great."",""Did the Vek mean to attack that mountain? Don't think so.""","""Nice aim, Vek!"",""Are they blind? Might be."",""Keep redirecting their attacks!"""
,,,,,,,,,,,,,,
,PowerCritical,,"""Sensors going down, I think the Grid's about to give..."",  ""Our power is critical. Protect the Grid at all costs!"", ""The Grid's gone red, #squad. Move, move!"", ""If we lose the Grid, we lose the timeline. Get rid of those Vek!"", ""Watch your fire, one mistake and we lose this timeline.""","""The Grid... We won't last much longer."",  ""Grid is critical, protect it with your life!"", ""This is our last chance, keep the Grid safe."", ""The Grid is on its last leg. We can't let it fall again."", ""The Grid! N-not this world too..""","""Do not let the Grid fall!"", ""The Grid is critical, do not let it die out!"", ""The Grid is almost gone, protect it!""","""The Grid is about to fail. Do not let it go red!"", ""Positions, soldiers, protect the Grid!"", ""The Grid is near collapse, keep it safe!"", ""Eliminate the Vek before they finish our Grid!"", ""Protect our infrastructure, before the Grid falls!""","""We cannot sustain another hit to the Grid!"", ""If we allow the Grid to fall, our mechs are done for!"", ""We cannot sustain our mechs on the reactor cores alone. Protect the Grid!""","""Our Grid.. Another hit, and we're good as dead!"", ""If it wasn't already dire, the Grid's critical now.."", ""We won't last much longer like this. Don't let the Grid get hurt!""","""Grid reaching critical levels. Prioritize it's safety."",""Do not allow the Grid to fall."",""Protect the Grid at all costs.""","""Grid's red. Watch your fire, #squad."",""Things are urgent now. Analyze our options, we may need to breach."",""Our Grid won't last much longer at this rate."",""Do not allow our Grid to take any more hits.""","""Our Grid.. Another hit, and we're good as dead!"", ""If it wasn't already dire, the Grid's critical now.."", ""We won't last much longer like this. Don't let the Grid get hurt!""","""If the Grid goes down.. Don't allow it to take any further damage!"",""It's a miracle the Grid is still holding on. Don't let the Vek push it further."",""Keep the Vek from destroying anything else!"",""We need to hold out until the battle ends, the Grid won't last...""","""Grid's taking major damage, keep it steady!"",""Drive these Vek off before the Grid takes another hit!"",""We need to act soon before our Grid gives out."",""Our Grid won't last much longer like this.""","""I don't think the Grid will take another hit!"",""Another blow like that and this timeline is lost."",""Grid's red, get this region secured!"",""Oh no, Grid's about to go!"""
,Bldg_Destroyed_Self,,"""I think I hit something. That's... oh no.."",  ""I... It was a necessary sacrifice. This is for our survival."", ""If they'd evacuated, they wouldn't have died. But that's not to excuse my own actions."", ""Lock me up afterwards, I'm doing what needs to be done."", ""I wouldn't have done this if I could've avoided it. This is for our greater good.""","""I.. I'm so sorry. It had to be done."",  ""There was... no other way. I.."", ""I won't let this happen again. I'm s-sorry..."",""C-collateral dam... no, it's my fault.""","""Collateral damage is sometimes a necessity in the chaos of war."", ""You were in my way. This was for the better."", ""It was a strategic decision, #ceo_second. I apologize."", ""Evacuate next time, don't get in my way.""","""Collateral damage, commander."", ""I did not misfire. That was for our strategic good."", ""Civilian deaths. I take all responsibility, but don't stop me from finishing this battle."", ""I made a necessary sacrifice. Don't get in my way, or more lives will be lost."",","""I have made a difficult decision, but a necessary one."", ""The lives lost and the damage to the Grid are an unfortunate necessity for our survival."", ""I apologize, even if it was unavoidable.""","""Oh man, I..."",  ""If you don't want to get hurt, please stay out of the way!"",  ""If I didn't do that, the Vek would've done it for me..""","""Unfortunate necessity. Reprimand me later."",""The civilians were.. in my way."",""Sacrifices have to be made if we're to pull through."",""I would have avoided that if I could.""","""I'll accept the consequences, as long as you allow me to explain myself."",""It was a necessary sacrifice, I minimized our losses."",""..Unacceptable... I'll do better next time, commander.""","""Oh.. Oh god, I didn't mean to.."",  ""If you don't want to get hurt, please stay out of the way!"",  ""If I didn't do that, the Vek would do it for me..""","""I had to do it, commander."",""This was for our good."",""To think that they didn't evacuate..""","""It wasn't meant to happen like this.."",""I've done something terrible, for.. the right reasons."",""A terrible cost. An.. unfortunate necessity.""","""I... I just.. No!"",""Oh no, no no no!"",""What did I just.."",""That wasn't.. dammit!"",""Commander, I.."""
,Bldg_Destroyed_Obs,,"""Those tremors.. You just took a building down! #main_first!"", ""#main_first, that location is full of civilians. Explain yourself!"", ""I know you had your reasons. I'll defend you myself if it comes to that, #main_first."",  ""So many lives... We can't let this happen again."",  ""I'm getting reports of casualties. Did one of you just..."", ""Sensors are telling me a civilian location was hit. Who just..?""","""You didn't have to do that. We could have done.. something."",  ""That building wasn't evactuated. You just..!"", ""Gone.. Just like that."", ""I'm sure you.. had your reasons...""","""If you had to do it, fine."", ""I won't hold it against you, but you're telling #corp yourself."", ""Not good that it happened, but if it had to happen...""","""I trust your actions had reason behind them, #main_second."", ""If you can't explain this to me, #main_second, I'll have you discharged."", ""Check your fire, #main_second!"", ""#main_second, collateral damage! Watch your aim!"",","""You've damaged that structure beyond repair. Far too many casualties."", ""The Grid, the civilians.. What have you done?"", ""I understand that building was in the way, but we need to prioritize the safety of this island's inhabitants.""","""People were in that building.."",  ""If it keeps us safe.. but those people..."",  ""There's no.. What did you do!?""","""I know it was a necessary sacrifice."",""You.. had your reasons."",""Don't allow this to happen again."",""Our civilian resources are a priority, avoid that if possible."",""Focus, we need you in this fight.""","""Collateral damage is unacceptable... in most circumstances."",""I need to have a word with you after this, #main_second."",""That better have been necessary. Otherwise I'll see this through myself."",""We should have avoided this. Unacceptable.""","""People were in that building.."",  ""If it keeps us safe.. but those people..."",  ""There's no.. What did you do!?""","""If it was necessary, so be it."",""The blame rests on us too. Not just you."",""Unfortunate circumstances. I understand, #main_first.""","""You'd better be able to explain yourself after we drive off these Vek."",""If it means we pull through this.."",""Are you sure this had to happen..?""","""#main_first, that wasn't.."",""Did you.. mean to do that?"",""Those civilians! #main_first, what did you just do..?"",""There were people in there, #main_first!"""
,Bldg_Destroyed_Vek,,"""Sensors tell me our grid just took a hit.. but how many civilians were in there?"",  ""Building went down, move that Vek before it does more damage!"", ""Those people.. Let's end this before more lives are lost.""","""Move fast, before it happens again."", ""No, not like this.."",""No, that building! Where did we let that Vek through?""","""We shouldn't have let that Vek go anywhere near!"", ""Stand back, that Vek is mine!"", ""You're not doing that again. Not as long as I breathe."", ""You're going down with that building, Vek."", ""I'll kill you myself, you son of a bitch.""","""Vek are killing civilians! Stop them or distract them from doing more damage!"", ""Protect our infrastructure, the Grid is critical to our survival!"", ""Prevent the Vek from damaging our Grid further!""","""We cannot allow the Grid to sustain further damage."", ""Stop the Vek immediately, before it damages our infrastructure further!"", ""Let that be the last hit we take this battle. These losses are unsustainable.""","""We can't let the Vek attack again!"",  ""We're good as dead if we let the Grid fall. Stop that Vek!"", ""The entire building.. No survivors."", ""Keep that Vek back before it finishes off the survivors!""","""Civilian structure.. compromised."",""We let a Vek get through.."",""Move on that Vek immediately."",""#corp paid the price for delaying evacuations."",""This was preventable..""","""We let a Vek get through. Don't let it go unpunished."",""Our failures are starting to compound. Stop this before it ends in disaster."",""Ensure no more civilians are harmed, we need their cooperation."",""The loss of life here is our fault as much as it is the Vek's."",""Get a move on, soldier, correct this!""","""We can't let the Vek attack our Grid any further!"",  ""We're good as dead if we let the Grid fall. Stop that Vek!"", ""The entire building.. No survivors."", ""Keep the Vek back, before it finishes off any survivors!""","""The Grid won't withstand our carelessness. Remedy this quickly."",""We'd better hope #corp can pick up where we failed."",""A tragic loss of life. Ensure this is the most that happens here.""","""We shouldn't have let that Vek get through.."",""A few more hits like that, and we'll have lost the timeline."",""We'd better hope there weren't many casualties.""","""We.. let a Vek through!"",""Watch out, that Vek.. Oh no."",""Those people.. We could have prevented that!"",""Don't let that happen again.. Move, move!"""
,Bldg_Resisted,"Building resists damage, currently anyone can comment but I can change this to _Obs/_Self/_Vek if we think it's worth it.","""Building w- no, it's standing!"", ""That building held, somehow... Start moving!"", ""Take that enemy down before it tries again!""","""Keep going. The building held, but we shouldn't have had to test it."", ""They're alive.. They're alive!"", ""The building held. Move, move!""","""Building held, hostile couldn't take it down!"", ""Civilians are safe, don't let it get hit again!"", ""We got lucky, the building's unscathed."", ""That building took the hit, get rid of that hostile!""","""This building's designer deserves distinction for the lives saved."", ""A failure on our part, but an astounding success for the engineers of this building."", ""Our luck won't hold next time. Move that enemy away."",","""The workers who made that building have done a commendable job."", ""The Grid.. is intact. An unexpected, but welcome turn of events."", ""We came very close, but it appears the building has held!"", ""Despite that blow, our Grid is fully intact!""","""I can't believe it.. The building held!"", ""The building is still standing.. Somehow.."", ""H-how? It's intact!"", ""Our Grid didn't take any damage!""","""Building shouldn't have been hit in the first place."",""Not opportune. That building shouldn't have been threatened."",""Our tactical blunder was forgiven this time."",""A mistake unpunished, for now.""","""Our ineptitudes have passed harmlessly, this time."",""We cannot allow our shortcomings to put our resources at risk again."",""Quick, eliminate the hostile before it can try again."",""Get moving before our luck gives out!""","""I can't believe it.. The building held!"", ""The building is still standing.. Somehow.."", ""H-how? The.. The building is intact!"", ""Our Grid didn't take any damage!""","""A stroke of luck in a terrible situation."",""Opportune, but don't take that as license to slip up again."",""Don't let this become a trend. Stop the Vek from threatening us in the first place.""","""..No casualties. We got out lucky."",""Not an ideal test of the building's strength, but.. it held."",""Incredible, to see the building withstand such a blow.""","""Watch out, that Vek.. Oh, we got lucky!"",""Hey, get moving so that building stays safe!"",""Couldn't have gone any better!"",""I can't believe that building actually held.."""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mission Specific,Mission_Train_TrainStopped,,"""The train was damaged. It'll be out of commission, but we can probably salvage it."", ""My scans tell me the train's been wrecked.. but not destroyed.""","""The train's motor unit just gave out. Keep the rest of it safe."", ""#corp's not gonna be happy if we lose the rest.""","""The train's been damaged, it's not going anywhere."", ""Train took heavy damage, it needs repairs."", ""The train's not gonna make it in time, but it's still alive."", ""#corp's gonna have to repair the train now.""","""The train has been derailed. The resources to fix it will cost #corp far too much."", ""#corp can fix the train, but it won't make the route on time."",","""That train will be expensive to repair, but we can get it operational."", ""The repairs necessary for that train will delay its arrival.."",","""The train was destroyed. Or, maybe we can repair it."",""The train's been badly damaged. If we protect it, we may be able to get it operational again.""","""Train's movement completely compromised."",""The cargo may still be intact if we're lucky."",""Keep the Vek from destroying the remnants.""","""Our logistics will be a nightmare without this supply line up."",""As outdated as this train was, it was still vital. Now it's a wreck."",""#corp will have to find some other way to carry the supplies, because of us.""","""The train was destroyed. Or, maybe we can repair it."",""The train's been badly damaged. If we protect it, we may be able to get it operational again.""","""Train's derailed, it'll take a full operation to get it running again."",""I'm afraid the train won't leave the region in this state."",""#corp will have to wait a little longer for those supplies.""","""#corp won't be pleased if we let the train take any more damage."",""Train's not going anywhere in this state."",""We'd better hope the supplies made it.""","""Don't worry, we can repair it. Well, worry at least a little."",""These are pretty expensive to repair.."",""We'd better hope the crew survived that."""
,Mission_Train_TrainDestroyed,,"""The train's been obliterated now. Looks like it's lost."", ""The train's heat signature just went.. Looks like the crew's gone.""","""The train is gone now. We've failed them."", ""We just lost the train.. How many crew members were there?"",","""We're not getting the train back now."", ""The train's definitely gone. We should have been quicker."",","""We can't salvage the train at this point."", ""The train is just rubble now. I don't anticipate they'll be able to replace this line soon."",","""The skeleton could be re utilized, but otherwise it's all but destroyed."", ""The train is beyond repair now. We could get some spare parts from it, maybe."",","""The train's definitely done for now."",""Train was already in bad shape, now it's barely recognizable.","""Train's completely lost."",""Not worth repairing the train at this point."",""The train and its crew were wiped out."",""Nothing remains of the train.""","""There won't be a single car left to salvage."",""Even the railway is unusable now."",""We've failed to protect the train, at all.""","""The train's definitely done for now."",""Train was already in bad shape, now it's barely recognizable.","""Even the line's been destroyed.."",""I doubt there'll be anything left to salvage, let alone rescue."",""The next region will be crippled by the loss of their supply line.""","""So many lives lost, the train couldn't just stay at station."",""Not a building full of civilians, but it's still a bad loss.""","""I've operated one of these before, sad to see this one go."",""I don't think the crew made it out either."",""Not too optimistic about finding any survivors."""
